id,symbol,name,current_price,market_cap,market_cap_rank,total_volume,high_24h,low_24h,price_change_24h,price_change_pct_24h,circulating_supply,total_supply,ath,last_updated,ingested_at
bitcoin,btc,Bitcoin,61120.0,1223282572065.0,1,67941693630.0,63051.0,59228.0,-1528.0718978573714,-2.43915,20039087.0,20039087.0,126080.0,2026-06-06T08:23:13.311Z,2026-06-06T08:24:11.647531
ethereum,eth,Ethereum,1576.59,189994111093.0,2,35735765577.0,1683.24,1512.07,-87.99058108742065,-5.28604,120684554.3682845,120684554.3682845,4946.05,2026-06-06T08:23:12.761Z,2026-06-06T08:24:11.647531
tether,usdt,Tether,0.999482,187006160704.0,3,109124277240.0,0.99975,0.999024,0.00037246,0.03728,187111567219.6885,192578508841.4762,1.32,2026-06-06T08:23:13.774Z,2026-06-06T08:24:11.647531
binancecoin,bnb,BNB,580.07,78040848647.0,4,2113674837.0,595.44,559.01,-6.810625101195342,-1.16048,134784200.0,134784200.0,1369.99,2026-06-06T08:23:12.847Z,2026-06-06T08:24:11.647531
usd-coin,usdc,USDC,0.999717,75553669917.0,5,26080302727.0,1.0,0.999164,2.595e-05,0.0026,75573772211.5767,75575743275.97968,1.043,2026-06-06T08:23:13.156Z,2026-06-06T08:24:11.647531
ripple,xrp,XRP,1.097,68046684814.0,6,3961677998.0,1.14,1.054,-0.028922583135488678,-2.56919,62053900985.0,99985653167.0,3.65,2026-06-06T08:23:12.727Z,2026-06-06T08:24:11.647531
solana,sol,Solana,62.89,36371482977.0,7,6133065246.0,66.58,60.4,-2.82003142495509,-4.29175,578559146.974967,627785930.3326863,293.31,2026-06-06T08:23:12.782Z,2026-06-06T08:24:11.647531
tron,trx,TRON,0.31943,30295639762.0,8,959516103.0,0.326474,0.318493,-0.006080953144716017,-1.86812,94818840987.34096,94819991196.67996,0.431288,2026-06-06T08:23:02.925Z,2026-06-06T08:24:11.647531
figure-heloc,figr_heloc,Figure Heloc,1.029,19049304530.0,9,105416690.0,1.034,1.019,0.00969,0.95101,18519532919.717,18519532919.717,1.049,2026-06-06T06:41:07.050Z,2026-06-06T08:24:11.647531
hyperliquid,hype,Hyperliquid,60.01,13341296594.0,10,1197318762.0,62.62,56.81,-1.6931291672613042,-2.74383,222445714.0741414,955307079.4341414,75.48,2026-06-06T08:23:05.381Z,2026-06-06T08:24:11.647531
dogecoin,doge,Dogecoin,0.081596,12601020262.0,11,1798472537.0,0.085025,0.078188,-0.002358151614378468,-2.80884,154545216383.7052,170256983126.579,0.731578,2026-06-06T08:23:10.884Z,2026-06-06T08:24:11.647531
usds,usds,USDS,0.999717,10829258381.0,12,186057770.0,1.0,0.999474,-9.209829714862e-06,-0.00092,10832400090.29438,10832400090.29438,1.15,2026-06-06T08:23:05.420Z,2026-06-06T08:24:11.647531
leo-token,leo,LEO Token,9.62,8855379167.0,13,2867614.0,9.94,9.5,-0.21894221191417707,-2.2251,920458894.9,985239504.0,10.57,2026-06-06T08:23:07.525Z,2026-06-06T08:24:11.647531
rain,rain,Rain,0.01306509,8133710296.0,14,46794228.0,0.01386275,0.0125779,-0.00044135605102855,-3.26774,622648915618.715,1149866517347.798,0.01478538,2026-06-06T08:23:06.894Z,2026-06-06T08:24:11.647531
stellar,xlm,Stellar,0.201885,6802577391.0,15,900816892.0,0.206806,0.185806,0.01292004,6.83726,33728505206.34694,50001786839.91258,0.875563,2026-06-06T08:23:02.568Z,2026-06-06T08:24:11.647531
zcash,zec,Zcash,372.28,6237560908.0,16,2369205068.0,397.38,298.97,54.52,17.15717,16751384.5405448,16752459.5405448,3191.93,2026-06-06T08:23:05.246Z,2026-06-06T08:24:11.647531
cardano,ada,Cardano,0.158191,5869984720.0,17,1049404274.0,0.16512,0.149353,-0.002219523376317867,-1.38366,37160010595.838,45000000000.0,3.09,2026-06-06T08:23:07.811Z,2026-06-06T08:24:11.647531
canton-network,cc,Canton,0.151379,5860263782.0,18,19728632.0,0.150929,0.139924,0.00489927,3.34467,38727422589.31546,38727422589.31546,0.194152,2026-06-06T08:23:07.086Z,2026-06-06T08:24:11.647531
monero,xmr,Monero,307.21,5763737497.0,19,167392148.0,339.17,295.78,-21.3420591525429,-6.49575,18761281.998147,18761281.998147,797.73,2026-06-06T08:23:07.159Z,2026-06-06T08:24:11.647531
ravedao,rave,RaveDAO,27.39,6764314064.0,19,330827836.0,27.88,16.55,9.01,49.00354,248044444.0,1000000000.0,27.88,2026-04-18T06:56:48.386Z,2026-04-18T06:57:00.190045
